"node_id","cluster_id","doi","pmid"
3636601,1,"10.1101/sqb.2006.71.064",17381339
6489439,1,"10.1016/j.cell.2007.03.008",17382377
2286013,1,"10.1016/j.cell.2007.01.038",17382880
1112463,1,"10.1093/nar/gkm133",17389647
5353891,1,"10.1016/s0092-8674(02)00793-6",12110183
1265223,1,"10.1038/418244a",12110901
2297799,1,"10.1105/tpc.003210",12119378
6263829,1,"10.1038/nsmb.1921",20924405
4359866,1,"10.1186/1756-8722-3-37",20925959
1101140,1,"10.1016/j.tplants.2010.09.001",20926332
6402939,1,"10.1007/978-1-60761-863-8_1",20931386
4904464,1,"10.3724/sp.j.1005.2010.01018",20943489
4747271,1,"10.1038/sj.embor.7401011",17599088
5395091,1,"10.1016/j.cell.2007.06.028",17599402
5172439,1,"10.1073/pnas.0704372104",17600087
4608636,1,"10.1105/tpc.107.051706",17601824
1736500,1,"10.1016/j.cub.2007.06.030",17604629
4744869,1,"10.1016/j.cell.2007.04.040",17604727
2618603,1,"10.1084/jem.20070823",17606634
2815317,1,"10.1101/gad.1563607",17606638
2634118,1,"10.1016/j.devcel.2007.04.012",17609114
3025764,1,"10.1016/j.molcel.2007.06.017",17612493
185690,1,"10.1093/hmg/ddm056",17613543
2005588,1,"10.1016/j.molcel.2008.12.012",19187762
151982,1,"10.1038/cr.2009.13",19188930
2937763,1,"10.1073/pnas.0808300106",19211792
3037582,1,"10.1016/s1097-2765(00)80245-2",10882102
3734909,1,"10.1016/s0092-8674(04)00045-5",14744438
6185176,1,"10.1038/sj.embor.7400070",14749716
677774,1,"10.1126/science.1092653",14752161
2537642,1,"10.1073/pnas.0404025101",15272084
22910,1,"10.1261/rna.7350304",15272117
2067192,1,"10.1038/sj.emboj.7600340",15282547
350741,1,"10.1073/pnas.0404432101",15284443
1518465,1,"10.1126/science.1102514",15284453
1895818,1,"10.1126/science.1102513",15284456
2173543,1,"10.1139/o04-046",15284900
1228771,1,"10.1242/dev.01320",15294871
3083859,1,"10.1126/science.1101372",15297624
